,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
0,67,male,2,own,NA,little,1169,6,radio/TV,low
1,22,female,2,own,little,moderate,5951,48,radio/TV,high
2,49,male,1,own,little,NA,2096,12,education,low
3,45,male,2,free,little,little,7882,42,furniture/equipment,low
4,53,male,2,free,little,little,4870,24,car,high
5,35,male,1,free,NA,NA,9055,36,education,low
6,53,male,2,own,quite rich,NA,2835,24,furniture/equipment,low
7,35,male,3,rent,little,moderate,6948,36,car,low
8,61,male,1,own,rich,NA,3059,12,radio/TV,low
9,28,male,3,own,little,moderate,5234,30,car,high
10,25,female,2,rent,little,moderate,1295,12,car,high
11,24,female,2,rent,little,little,4308,48,business,high
12,22,female,2,own,little,moderate,1567,12,radio/TV,low
13,60,male,1,own,little,little,1199,24,car,high
14,28,female,2,rent,little,little,1403,15,car,low
15,32,female,1,own,moderate,little,1282,24,radio/TV,high
16,53,male,2,own,NA,NA,2424,24,radio/TV,low
17,25,male,2,own,NA,little,8072,30,business,low
18,44,female,3,free,little,moderate,12579,24,car,high
19,31,male,2,own,quite rich,NA,3430,24,radio/TV,low
20,48,male,2,own,little,NA,2134,9,car,low
21,44,male,2,rent,quite rich,little,2647,6,radio/TV,low
22,48,male,1,rent,little,little,2241,10,car,low
23,44,male,2,own,moderate,moderate,1804,12,car,low
24,26,male,2,own,NA,NA,2069,10,furniture/equipment,low
25,36,male,1,own,little,little,1374,6,furniture/equipment,low
26,39,male,1,own,little,NA,426,6,radio/TV,low
27,42,female,2,rent,rich,rich,409,12,radio/TV,low
28,34,male,2,own,little,moderate,2415,7,radio/TV,low
29,63,male,2,own,little,little,6836,60,business,high
30,36,male,2,own,rich,moderate,1913,18,business,low
31,27,male,2,own,little,little,4020,24,furniture/equipment,low
32,30,male,2,own,moderate,moderate,5866,18,car,low
33,57,male,1,rent,NA,NA,1264,12,business,low
34,33,female,3,own,little,rich,1474,12,furniture/equipment,low
35,25,male,1,own,little,moderate,4746,45,radio/TV,high
36,31,male,2,free,little,NA,6110,48,education,low
37,37,male,2,own,little,rich,2100,18,radio/TV,high
38,37,male,2,own,little,rich,1225,10,domestic appliances,low
39,24,male,2,own,little,moderate,458,9,radio/TV,low
40,30,male,3,own,quite rich,NA,2333,30,radio/TV,low
41,26,male,2,own,quite rich,moderate,1158,12,radio/TV,low
42,44,male,1,own,little,moderate,6204,18,repairs,low
43,24,male,2,rent,moderate,little,6187,30,car,low
44,58,female,1,free,little,little,6143,48,car,high
45,35,female,3,own,little,NA,1393,11,car,low
46,39,male,2,own,quite rich,NA,2299,36,radio/TV,low
47,23,female,0,rent,quite rich,little,1352,6,car,low
48,39,male,1,own,little,NA,7228,11,car,low
49,28,female,2,own,moderate,NA,2073,12,radio/TV,low
50,29,male,1,own,NA,moderate,2333,24,furniture/equipment,low
51,30,male,3,own,little,moderate,5965,27,car,low
52,25,male,2,own,little,NA,1262,12,radio/TV,low
53,31,male,2,own,NA,NA,3378,18,car,low
54,57,male,2,free,little,moderate,2225,36,car,high
55,26,male,1,own,NA,NA,783,6,car,low
56,52,male,3,own,NA,moderate,6468,12,radio/TV,high
57,31,female,2,own,little,NA,9566,36,radio/TV,low
58,23,female,3,own,little,rich,1961,18,car,low
59,23,female,1,rent,little,little,6229,36,furniture/equipment,high
60,27,male,2,own,little,moderate,1391,9,business,low
61,50,male,2,own,NA,moderate,1537,15,radio/TV,low
62,61,male,3,free,little,moderate,1953,36,business,high
63,25,male,2,own,little,moderate,14421,48,business,high
64,26,female,2,own,little,NA,3181,24,radio/TV,low
65,48,male,2,own,NA,NA,5190,27,repairs,low
66,29,female,2,own,little,NA,2171,12,radio/TV,low
67,22,male,2,own,rich,moderate,1007,12,car,low
68,37,male,2,free,little,NA,1819,36,education,high
69,25,female,2,own,NA,NA,2394,36,radio/TV,low
70,30,female,2,own,little,NA,8133,36,car,low
71,46,male,1,rent,NA,NA,730,7,radio/TV,low
72,51,male,3,free,little,little,1164,8,vacation/others,low
73,41,female,1,own,little,moderate,5954,42,business,low
74,40,male,3,own,NA,little,1977,36,education,high
75,66,male,3,free,little,little,1526,12,car,low
76,34,male,2,own,little,little,3965,42,radio/TV,high
77,51,male,2,own,little,moderate,4771,11,radio/TV,low
78,39,male,1,own,NA,NA,9436,54,car,low
79,22,male,2,own,little,moderate,3832,30,furniture/equipment,low
80,44,female,2,own,NA,NA,5943,24,radio/TV,high
81,47,male,2,own,quite rich,NA,1213,15,radio/TV,low
82,24,female,1,rent,moderate,NA,1568,18,business,low
83,58,female,1,own,little,little,1755,24,vacation/others,low
84,52,male,1,own,little,little,2315,10,radio/TV,low
85,29,female,3,own,little,NA,1412,12,business,low
86,27,female,2,own,little,moderate,1295,18,furniture/equipment,low
87,47,male,2,free,moderate,moderate,12612,36,education,high
88,30,male,3,own,moderate,little,2249,18,car,low
89,28,male,2,own,little,little,1108,12,repairs,high
90,56,male,2,own,little,NA,618,12,radio/TV,low
91,54,male,2,own,little,little,1409,12,car,low
92,33,female,1,own,NA,NA,797,12,radio/TV,high
93,20,male,2,rent,NA,rich,3617,24,furniture/equipment,low
94,54,male,2,own,rich,moderate,1318,12,car,low
95,58,male,2,rent,little,moderate,15945,54,business,high
96,61,female,2,own,NA,NA,2012,12,education,low
97,34,male,2,own,moderate,moderate,2622,18,business,low
98,36,male,2,own,little,moderate,2337,36,radio/TV,low
99,36,male,3,rent,NA,moderate,7057,20,car,low
100,41,male,1,rent,moderate,NA,1469,24,car,low
101,24,male,2,rent,little,moderate,2323,36,radio/TV,low
102,24,female,2,own,little,NA,932,6,radio/TV,low
103,35,male,2,rent,little,moderate,1919,9,furniture/equipment,low
104,26,male,2,rent,NA,NA,2445,12,car,low
105,39,male,3,own,little,moderate,11938,24,vacation/others,high
106,39,male,3,own,little,NA,6458,18,car,high
107,32,male,2,own,little,moderate,6078,12,car,low
108,30,female,2,own,NA,little,7721,24,furniture/equipment,low
109,35,male,2,own,quite rich,moderate,1410,14,business,low
110,31,male,2,own,moderate,moderate,1449,6,business,low
111,23,female,2,rent,little,rich,392,15,education,low
112,28,male,1,rent,little,moderate,6260,18,car,low
113,25,female,2,own,little,NA,7855,36,car,high
114,35,male,2,own,quite rich,little,1680,12,radio/TV,low
115,47,male,2,own,NA,NA,3578,48,radio/TV,low
116,30,female,3,own,NA,little,7174,42,radio/TV,high
117,27,female,2,rent,NA,little,2132,10,furniture/equipment,low
118,23,female,2,own,quite rich,little,4281,33,furniture/equipment,high
119,36,male,3,own,quite rich,moderate,2366,12,car,low
120,25,female,2,own,little,little,1835,21,radio/TV,high
121,41,female,3,rent,little,NA,3868,24,car,low
122,24,male,1,rent,little,NA,1768,12,furniture/equipment,low
123,63,male,2,free,little,rich,781,10,car,low
124,27,female,2,rent,NA,moderate,1924,18,furniture/equipment,high
125,30,male,2,own,little,little,2121,12,car,low
126,40,male,1,own,little,little,701,12,radio/TV,low
127,30,male,2,own,little,moderate,639,12,repairs,high
128,34,male,3,own,little,moderate,1860,12,car,low
129,29,female,2,own,little,little,3499,12,car,high
130,24,female,2,own,NA,moderate,8487,48,car,low
131,29,male,2,own,little,little,6887,36,education,high
132,27,male,1,own,little,NA,2708,15,furniture/equipment,low
133,47,male,2,free,little,NA,1984,18,furniture/equipment,low
134,21,female,2,own,moderate,NA,10144,60,radio/TV,low
135,38,female,2,own,NA,NA,1240,12,radio/TV,low
136,27,male,2,own,rich,NA,8613,27,car,low
137,66,male,1,own,quite rich,moderate,766,12,radio/TV,high
138,35,male,2,own,NA,moderate,2728,15,radio/TV,low
139,44,female,1,rent,little,rich,1881,12,radio/TV,low
140,27,male,0,own,rich,rich,709,6,car,low
141,30,female,3,own,little,moderate,4795,36,radio/TV,low
142,27,male,3,own,little,little,3416,27,radio/TV,low
143,22,male,2,own,little,little,2462,18,furniture/equipment,high
144,23,female,2,own,little,NA,2288,21,furniture/equipment,low
145,30,male,2,own,moderate,moderate,3566,48,business,low
146,39,female,2,own,little,little,860,6,car,low
147,51,female,2,own,moderate,NA,682,12,car,low
148,28,male,2,own,little,little,5371,36,furniture/equipment,low
149,46,male,2,own,rich,NA,1582,18,radio/TV,low
150,42,male,2,free,moderate,NA,1346,6,radio/TV,low
151,38,male,2,own,little,NA,1924,10,radio/TV,low
152,24,male,2,own,little,rich,5848,36,radio/TV,low
153,29,female,2,rent,rich,moderate,7758,24,car,low
154,36,male,3,rent,moderate,moderate,6967,24,business,low
155,20,female,2,rent,little,little,1282,12,furniture/equipment,high
156,48,male,2,own,moderate,little,1288,9,repairs,low
157,45,male,1,own,little,little,339,12,education,low
158,38,male,2,own,moderate,moderate,3512,24,car,low
159,34,male,1,own,NA,NA,1898,6,radio/TV,low
160,36,male,2,own,moderate,NA,2872,24,radio/TV,low
161,30,female,2,own,little,NA,1055,18,car,low
162,36,male,2,own,quite rich,NA,1262,15,domestic appliances,low
163,70,male,3,free,little,moderate,7308,10,car,low
164,36,male,2,own,quite rich,NA,909,36,car,low
165,32,male,2,own,quite rich,NA,2978,6,furniture/equipment,low
166,33,female,2,own,little,little,1131,18,furniture/equipment,high
167,20,female,2,own,rich,moderate,1577,11,furniture/equipment,low
168,25,female,2,rent,little,NA,3972,24,furniture/equipment,low
169,31,male,2,own,little,moderate,1935,24,business,high
170,33,male,2,rent,little,little,950,15,car,high
171,26,female,2,own,little,NA,763,12,furniture/equipment,low
172,34,female,3,own,little,moderate,2064,24,furniture/equipment,high
173,33,male,2,own,little,moderate,1414,8,radio/TV,low
174,26,male,2,own,little,little,3414,21,education,high
175,53,female,3,own,NA,NA,7485,30,car,high
176,42,male,2,own,little,little,2577,12,furniture/equipment,low
177,52,male,2,own,quite rich,little,338,6,radio/TV,low
178,31,male,3,rent,little,NA,1963,12,radio/TV,low
179,65,male,2,own,little,little,571,21,car,low
180,28,male,2,own,little,NA,9572,36,business,high
181,30,male,3,own,little,moderate,4455,36,business,high
182,40,male,1,own,NA,little,1647,21,car,high
183,50,male,2,own,rich,NA,3777,24,furniture/equipment,low
184,36,male,2,own,little,moderate,884,18,car,high
185,31,male,2,own,little,NA,1360,15,radio/TV,low
186,74,female,3,free,little,moderate,5129,9,car,high
187,68,male,0,free,little,moderate,1175,16,car,low
188,20,male,2,own,moderate,little,674,12,radio/TV,high
189,33,female,2,own,little,moderate,3244,18,furniture/equipment,low
190,54,male,3,own,rich,NA,4591,24,business,high
191,34,male,1,free,moderate,moderate,3844,48,business,high
192,36,male,2,own,little,moderate,3915,27,business,high
193,29,male,2,rent,little,NA,2108,6,radio/TV,low
194,21,male,2,rent,moderate,moderate,3031,45,radio/TV,high
195,34,female,3,own,little,moderate,1501,9,education,high
196,28,female,2,own,little,NA,1382,6,radio/TV,low
197,27,female,2,rent,moderate,moderate,951,12,furniture/equipment,high
198,36,male,2,free,NA,moderate,2760,24,car,low
199,40,male,3,own,little,moderate,4297,18,furniture/equipment,high
200,52,male,2,own,quite rich,NA,936,9,education,low
201,27,male,1,own,little,little,1168,12,car,low
202,26,male,2,own,little,NA,5117,27,business,low
203,21,male,2,rent,little,little,902,12,education,high
204,38,male,1,own,little,NA,1495,12,car,low
205,38,male,3,free,little,little,10623,30,car,low
206,43,male,2,own,little,NA,1935,12,furniture/equipment,low
207,26,male,2,own,little,moderate,1424,12,domestic appliances,low
208,21,male,1,own,little,little,6568,24,business,low
209,55,male,2,own,rich,NA,1413,12,car,low
210,33,male,2,own,NA,NA,3074,9,radio/TV,low
211,45,female,1,own,NA,NA,3835,36,radio/TV,low
212,50,male,2,own,little,little,5293,27,business,high
213,66,male,3,own,little,rich,1908,30,business,high
214,51,male,2,own,NA,NA,3342,36,radio/TV,low
215,39,female,1,own,NA,moderate,932,6,education,low
216,31,male,2,own,little,little,3104,18,business,low
217,23,male,2,own,little,rich,3913,36,radio/TV,low
218,24,male,1,rent,little,little,3021,24,furniture/equipment,low
219,64,female,2,own,little,NA,1364,10,car,low
220,26,male,1,own,little,moderate,625,12,radio/TV,low
221,23,female,2,rent,NA,little,1200,12,education,low
222,30,male,2,own,little,NA,707,12,radio/TV,low
223,32,male,2,own,NA,NA,2978,24,business,low
224,30,male,2,own,little,NA,4657,15,car,low
225,27,male,2,own,little,NA,2613,36,repairs,low
226,27,male,2,own,rich,moderate,10961,48,radio/TV,high
227,53,male,3,free,little,little,7865,12,furniture/equipment,high
228,22,male,2,own,little,NA,1478,9,radio/TV,high
229,22,male,2,free,little,little,3149,24,furniture/equipment,low
230,26,male,2,own,little,rich,4210,36,radio/TV,high
231,51,male,1,free,quite rich,NA,2507,9,car,low
232,35,male,2,own,moderate,NA,2141,12,radio/TV,low
233,25,male,1,own,little,moderate,866,18,radio/TV,low
234,42,male,1,own,little,NA,1544,4,radio/TV,low
235,30,male,3,own,little,little,1823,24,radio/TV,high
236,23,male,0,own,NA,moderate,14555,6,car,high
237,61,male,1,rent,moderate,moderate,2767,21,business,high
238,35,female,2,own,little,NA,1291,12,radio/TV,low
239,39,male,2,own,little,little,2522,30,radio/TV,low
240,29,female,2,own,NA,little,915,24,car,high
241,51,male,2,own,little,NA,1595,6,radio/TV,low
242,24,male,2,free,little,little,4605,48,car,high
243,27,female,2,own,little,NA,1185,12,business,low
244,35,female,1,own,quite rich,NA,3447,12,education,low
245,25,male,2,own,little,NA,1258,24,business,low
246,52,male,2,own,little,NA,717,12,radio/TV,low
247,35,male,2,rent,moderate,NA,1204,6,car,low
248,26,male,2,own,little,rich,1925,24,furniture/equipment,low
249,22,female,2,rent,little,NA,433,18,radio/TV,high
250,39,female,1,own,rich,little,666,6,car,low
251,46,female,1,own,little,rich,2251,12,furniture/equipment,low
252,24,female,2,own,little,moderate,2150,30,car,high
253,35,male,2,own,moderate,NA,4151,24,furniture/equipment,low
254,24,male,2,own,NA,moderate,2030,9,furniture/equipment,low
255,27,male,1,own,NA,moderate,7418,60,radio/TV,low
256,35,male,1,own,little,NA,2684,24,radio/TV,low
257,29,male,2,free,little,little,2149,12,radio/TV,high
258,23,female,2,own,moderate,NA,3812,15,car,low
259,57,female,1,own,moderate,NA,1154,11,radio/TV,low
260,27,male,2,own,little,little,1657,12,furniture/equipment,low
261,55,female,2,own,little,little,1603,24,radio/TV,low
262,36,male,3,free,little,little,5302,18,car,low
263,57,female,1,free,little,NA,2748,12,education,low
264,32,male,1,own,little,NA,1231,10,car,low
265,37,male,2,own,little,moderate,802,15,radio/TV,high
266,36,male,2,own,NA,NA,6304,36,business,low
267,38,female,2,own,little,NA,1533,24,radio/TV,low
268,45,male,3,own,little,little,8978,14,car,high
269,25,male,2,own,NA,NA,999,24,radio/TV,low
270,32,male,2,own,NA,NA,2662,18,car,low
271,37,female,2,rent,quite rich,NA,1402,12,furniture/equipment,low
272,36,male,3,free,NA,moderate,12169,48,car,low
273,28,male,2,own,little,moderate,3060,48,radio/TV,high
274,34,male,1,own,little,little,11998,30,repairs,high
275,32,male,2,own,little,NA,2697,9,radio/TV,low
276,26,female,2,own,little,NA,2404,18,radio/TV,low
277,49,male,1,own,NA,little,1262,12,furniture/equipment,low
278,32,female,2,own,little,NA,4611,6,furniture/equipment,high
279,29,male,3,rent,moderate,NA,1901,24,radio/TV,low
280,23,male,2,rent,rich,NA,3368,15,car,low
281,50,male,2,own,little,NA,1574,12,furniture/equipment,low
282,49,male,1,own,NA,rich,1445,18,radio/TV,low
283,63,male,2,own,NA,NA,1520,15,furniture/equipment,low
284,37,male,2,own,moderate,moderate,3878,24,car,low
285,35,female,1,own,little,little,10722,47,car,low
286,26,male,2,own,little,little,4788,48,car,low
287,31,male,3,free,moderate,moderate,7582,48,vacation/others,low
288,49,female,2,own,little,moderate,1092,12,radio/TV,low
289,48,male,2,own,little,little,1024,24,radio/TV,high
290,26,male,2,own,little,NA,1076,12,business,low
291,28,male,3,rent,little,moderate,9398,36,car,high
292,44,female,3,free,little,little,6419,24,car,low
293,56,male,2,free,little,rich,4796,42,car,low
294,46,male,3,own,NA,NA,7629,48,business,low
295,26,female,2,own,little,moderate,9960,48,furniture/equipment,high
296,20,female,2,rent,NA,NA,4675,12,car,low
297,45,male,1,own,NA,NA,1287,10,car,low
298,43,male,2,own,little,NA,2515,18,furniture/equipment,low
299,32,male,2,own,rich,moderate,2745,21,furniture/equipment,low
300,54,female,0,own,little,NA,672,6,car,low
301,42,female,2,own,little,moderate,3804,36,radio/TV,high
302,37,male,1,own,NA,rich,1344,24,car,high
303,49,male,2,own,little,little,1038,10,car,low
304,44,male,2,free,quite rich,NA,10127,48,car,high
305,33,male,2,own,rich,NA,1543,6,furniture/equipment,low
306,24,female,1,rent,NA,NA,4811,30,car,low
307,33,male,1,own,moderate,little,727,12,radio/TV,high
308,24,female,2,own,little,moderate,1237,8,furniture/equipment,high
309,22,male,1,rent,little,moderate,276,9,car,low
310,40,male,0,free,NA,moderate,5381,48,vacation/others,low
311,25,male,2,own,moderate,NA,5511,24,furniture/equipment,low
312,26,female,2,own,little,rich,3749,24,furniture/equipment,low
313,25,male,1,own,little,moderate,685,12,car,high
314,29,male,1,own,NA,rich,1494,4,car,low
315,31,male,2,own,little,little,2746,36,furniture/equipment,high
316,38,male,1,own,little,little,708,12,furniture/equipment,low
317,48,female,1,own,NA,moderate,4351,24,furniture/equipment,low
318,32,male,2,own,little,NA,701,12,education,low
319,27,female,1,own,little,little,3643,15,furniture/equipment,low
320,28,male,3,own,little,moderate,4249,30,car,high
321,32,male,2,own,little,little,1938,24,radio/TV,high
322,34,male,3,free,little,little,2910,24,car,low
323,28,male,2,own,rich,little,2659,18,furniture/equipment,low
324,36,female,2,own,little,NA,1028,18,car,low
325,39,male,1,own,little,little,3398,8,car,low
326,49,male,2,rent,NA,NA,5801,12,furniture/equipment,low
327,34,female,2,own,rich,NA,1525,24,car,low
328,31,male,2,own,little,rich,4473,36,radio/TV,low
329,28,male,2,own,little,moderate,1068,6,radio/TV,low
330,75,male,3,free,little,little,6615,24,car,low
331,30,female,2,own,moderate,NA,1864,18,education,high
